europeana_id,dcFormat,dctermsExtent,dcPublisher,dcRights,dcSource
/669/item_2CZMQDIWAYWA55ELLNXJDKWGO5IN5EVL,Böttgersteinzeug (Material/Technik); poliert (Material/Technik),"H. mit Deckel: 9,3 cm, H. ohne Deckel: 9,0 cm, B. 15,8 cm, T. 10,8 cm, D. Fuß: 6,7 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_2IZV4NGIWAZLE7CNKAI6UB2GFB7HHCXQ,Böttgersteinzeug (Material/Technik),"H. ohne Deckel: 8,5 cm, B. 14,0 cm, T. 9,4 cm, D. Fuß: 5,3 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_2MTJJDFWFIIRUKFZCLZH5VJWB55JESTW,Unterglasurfarbe (Material/Technik),"H. mit Deckel: 10,3 cm, H. ohne Deckel: 7,5 cm, B. 14,2 cm, T. 9,3 cm, D. Fuß: 6,2 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_356DKMZH2H2IDKFBTMSSGLTUEXBMA5JF,Porzellan (Material/Technik),"H. mit Deckel: 22,6 cm, H. ohne Deckel: 18,5 cm, L. 15,5 cm, D. 11,0 cm, D. Fuß: 6,4 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_3JLGEGDU4OCND4M3XU34E2IL7JRMBN3O,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 8,7 cm, H. ohne Deckel: 7,2 cm, B. 13,2 cm, T. 8,9 cm, D. Fuß: 5,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_3PVBKMPSDO4EC2HXAEOV3CK6KVY72NS3,Lack (Material/Technik),"H. mit Deckel: 9,5 cm, H. ohne Deckel: 8,8 cm, B. 13,3 cm, T. 8,6 cm, D. Fuß: 6,3 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_3VL7TEB4IVNFRW4D6HJHB23TRUEQOIKY,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 9,7 cm, H. ohne Deckel: 8,1 cm, B. 13,2 cm, T. 8,3 cm, B. Fuß: 6,2 cm, T. Fuß: 6,1 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_4QE67JZQCI2YKMSOE4V7NAPSIMYQVSRD,Tonware (rot) (Material/Technik),"H. mit Deckel: 14,2 cm, H. ohne Deckel: 11,3 cm, B. 18,5 cm, T. 12,0 cm, D. Fuß: 6,6 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_4YP6AOG4NSAE542OYAPC4RS7U55BEFJV,Unterglasurfarbe (Material/Technik); bemalt (Material/Technik),"H. mit Deckel: 12,9 cm, H. ohne Deckel: 9,0 cm, L. 16,2 cm, B. 10,7 cm, D. Fuß: 6,1 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_5EXJV44RLPKDKHPD6JZRMGR22TZTWUDS,Unterglasurfarbe (Material/Technik); montiert (Material/Technik),"H. mit Deckel: 7,8 cm, H. ohne Deckel: 6,1 cm, L. 13,7 cm, D. 8,3 cm, D. Fuß: 4,5 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_5IK6WH7SNXN6UZNROUHDE7R3H3A4EKOG,Böttgersteinzeug (Material/Technik),"H. ohne Deckel: 10,0 cm, B. 15,1 cm, T. 10,8 cm, D. Fuß: 6,2 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_5IUTV52XXGDSC2I6QU3ZTAMLUK4ORN6U,Porzellan (Material/Technik),"H. 12,2 cm, B. 21,0 cm, T. 12,0 cm, B. Fuß: 9,9 cm, T. Fuß: 7,5 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_5KTBG5MDMELYT46NV7JD2GWBWSH3KME2,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 11,1 cm, H. mit Deckel: 8,5 cm, B. 14,6 cm, T. 8,4 cm, D. Fuß: 6,7 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_5LAVPZSBBOUKKWR2CN2O4BP6YOHGKWRS,Steinzeug (Material/Technik),"H. mit Deckel: 8,5 cm, H. ohne Deckel: 6,5 cm, B. 11,7 cm, T. 8,2 cm, D. Fuß: 4,5 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_5LSPEYB6GO55HWR6JNYEZ2DLDXBROSQC,Böttgerporzellan (Material/Technik),"H. 24,5 cm, B. 23,3 cm, T. 14,4 cm, D. Fuß: 9,2 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_5NHOJCD2HE5P4P4V27JEFQY4LLZ25AKY,Böttgersteinzeug (Material/Technik); poliert (Material/Technik),"H. mit Deckel (Knauf fehlt): 7,9 cm, H. ohne Deckel: 5,8 cm, B. 10,9 cm, T. 7,6 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_5QDCVRIP76T2ZX5ZYQTJFWKPROWD6F2L,Unterglasurfarbe (Material/Technik),"H. mit Deckel: 8,1 cm, H. ohne Deckel: 6,4 cm, B. 13,3 cm, T. 8,4 cm, D. Fuß: 4,6 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_5YOUI5EBIDBHUDGMCQKKG77U5IUYMIID,Unterglasurfarbe (Material/Technik),"H. 16,5 cm, L. 14,2 cm, D. 11,7 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_5YPXO2NN65RLB3R7QBIIGJ4K43HCKUYC,Böttgersteinzeug (Material/Technik),"H. ohne Deckel: 8,9 cm, B. (Henkel abgebrochen, Tülle bestoßen): 14,6 cm, T. 13,1 cm, D. Fuß: 7,8 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_62VAD3BXTSSTUIGOHLKSF4KLCJXTR6L2,Porzellan (Material/Technik),"H. mit Deckel: 8,1 cm, H. ohne Deckel: 6,4 cm, B. 14,5 cm, T. 9,2 cm, D. Fuß: 5,8 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_64N3DMKLNOUTFSMMXWHRO6I5XDE4BNS3,Porzellan (Material/Technik),"H. mit Deckel: 8,5 cm, H. ohne Deckel: 7,3 cm, L. 11,9 cm, D. 8 cm, D. Fuß: 5,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_6PFOJOOKUNAHS6I3GJ5WJDH6S2MH6Y6K,Böttgerporzellan (Material/Technik),"H. mit Deckel: 18,9 cm, H. ohne Deckel: 16,0 cm, B. 16,1 cm, T. 11,2 cm, D. Fuß: 6,1 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_6Q7PAXLXOLSI2J6LXARN2E7N3OHYB5NB,Böttgersteinzeug (Material/Technik),"H. mit Deckel (festgeklebt): 14,2 cm, B. 17,3 cm, T. 11,7 cm, D. Fuß: 9,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_6TQDIG5XUJNV4Q2HWIOLSFND4AFIQ55S,graviert (Material/Technik); Zinn (Material/Technik),"25,2 x 17,5 x 12,2 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
/669/item_6W72EULQUUFET4A7LYIOQKUIA6NTNPV7,Steinzeug (Material/Technik),"H. mit Deckel: 7,1 cm, H. ohne Deckel: 5.8 cm, L. 12,8 cm, D. 8,7 cm, D. Fuß: 4,8 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_6ZAOCGF4HPTO3GQD6XNQGLNPFEFN5W4Y,Porzellan (Material/Technik),"H. 14,2 cm, B. 12,7 cm, D. 9,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_7AEVRLNEMHLPNN7SGUWW3Q7OSINNCX3C,Porzellan (Material/Technik),"H. mit Deckel: 14,5 cm, H. ohne Deckel: 10,7 cm, L. 18,7 cm, D. 11,6 cm, D. Fuß: 8,7 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_7TLTUDNAD4CLXWH3UPX23EISJSOCI7C7,gegossen (Material/Technik); Zinn (Material/Technik),"21,5 x 17,05 x 10,8 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
/669/item_7XTQ4HIYZSCYYC3AIHK4T2BLJPIB7UXZ,Unterglasurfarbe (Material/Technik); bemalt (Material/Technik),"H. mit Deckel: 10,5 cm, H. ohne Deckel: 8,7 cm, L. 15,8 cm, D. 10,4 cm, D. Fuß: 6,3 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_A3LNJXFAXB277O72R6QO2JOAVHQQQR4U,Böttgersteinzeug (Material/Technik),"H. ohne Deckel: 7,6 cm, B. (Tülle bestoßen): 13,3 cm, T. 8,6 cm, D. Fuß: 4,3 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_A4PEGFGL3NFBKAEO56ZHOJUP57Y4RL5Q,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 11,3 cm, H. ohne Deckel: 9,9 cm, B. 15,8 cm, T. 11,1 cm, D. Fuß: 6,6 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_A6VHHHOJJUYWBEUBKXB766E3BOSKF75U,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 22,6 cm, H. ohne Deckel: 18,5 cm, B. 16,9 cm, T. 11,0 cm, D. Fuß: 7,6 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_AALTUN7WGG76QBYGVKZTRDRRZAF4MHDZ,Kaltfarbe (Material/Technik),"H. mit Deckel: 12,1 cm, H. ohne Deckel: 8,8 cm, B. 16,2 cm, T. 12,4 cm, D. Fuß: 2,5 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_ABYYR4AUWFR4PQLDUR57FSQCXJ75X4SA,Porzellan (Material/Technik),"H. ohne Deckel: 8,7 cm, B. 18,8 cm, T. 11,2 cm, B. Fuß: 7,3 cm, T. Fuß: 7,2 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_AGR47ZAJRUNI7FIY7OFLWC27HGK2PIVQ,Unterglasurfarbe (Material/Technik),"H. mit Deckel: 7,0 cm, H. ohne Deckel: 6,2 cm, B. 13,2 cm, T. 8,4 cm, D. Fuß: 4,6 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_AILNP3OXMRKZF2KNS6SWR6WFTGNAP444,Porzellan (Material/Technik),"H. mit Deckel: 14,7 cm, H. ohne Deckel: 12,0 cm, B. 19,0 cm, T. 12,8 cm, D. Fuß: 7,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_AR3BBTVK3FHVRGM2DHJ3OGJ3F2CQV7OR,Gold (Material/Technik),"H. mit Deckel: 21,4 cm, H. ohne Deckel: 18,3 cm, B. 13,6 cm, T. 10,9 cm, D. Fuß: 8,1 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_AUQ4JTEGNUBQHGSOM4TVQBQAGZDCX24B,graviert (Material/Technik); Zinn (Material/Technik),"25,4 x 15,5 x 10,95 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
/669/item_AW7GCKPRFOFPLJF74LHCTBMJ3BNNOWAI,Porzellan (Material/Technik),"H. 16,6 cm, B. 14,6 cm, T. 11,7 cm, D. Fuß: 7,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_B3FAHV6ZLI2EU4U3V2ILXB3R3275LD6W,Lack (Material/Technik),"H. mit Deckel (Knopf bestoßen): 12,8 cm, H. ohne Deckel: 11,3 cm, B. 18,8 cm, T. 13,0 cm, D. Fuß: 7,2 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_B7VDW34GSUJEO75JD66CU4ASIPB7K6M4,vergoldet (Material/Technik); Silber (Material/Technik),"H 9,5 cm, Dm 48,0 cm; Gewicht: 3386 g",,"Grünes Gewölbe, Staatliche Kunstsammlungen Dresden",
/669/item_BWIW67NJXGRCLZVHZC43YCLETYZBHKSK,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 11,7 cm, H. ohne Deckel: 10,0 cm, B. 15,3 cm, T. 10,7 cm, D. Fuß: 5,5 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_BZZ6RHXSCULAJSW436QV6LMUDCU6G5AN,Böttgersteinzeug (Material/Technik),"H. mit Deckel (Knopf fehlt): 11,0 cm, H. ohne Deckel: 9,5 cm, B. 17,9 cm, T. 13,0 cm, D. Fuß: 6,8 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_CGOGXSH7AYEDH4GUYDJA6VCFWOYOA5HC,Porzellan (Material/Technik),"H. mit Deckel: 12,0 cm, H. ohne Deckel: 9,0 cm, B. 17,3 cm, T. 11,2 cm, D. Fuß: 6,8 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_CIPFEJU4JBW5U4QOAPK4BFSN42XWAMZ3,graviert (Material/Technik); Zinn (Material/Technik),"3,95 x 50,55 x 32,5 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
/669/item_CJA4VW4QGUHII3BPMEZS3UM24TVKP7IY,Porzellan (Material/Technik),"H. 17,1 cm, B. 15,1 cm, T. 12,4 cm, D. Fuß: 6,9 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_CMVEBCXDAWAV5YEMXD3AFXZIXH4KZYGC,Papier (Material/Technik); Lithografie (Material/Technik),709 x 1003 mm (Darstellung); 720 x 1016 mm (Blatt),,"Kupferstich-Kabinett, Staatliche Kunstsammlungen Dresden",
/669/item_CR645RGFR77EVXPEP7EYU7HFJ35FWTWL,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 9,5 cm, H. ohne Deckel: 8,0 cm, B. 12,7 cm, T. 8,2 cm, B. Fuß: 6,0 cm, T. Fuß: 6,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_CZSJKPDP5FIZUC7O5MGM4A2X2NHYZDPY,Porzellan (Material/Technik),"H. 18 cm, L. 16,1 cm, T. 8,6 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_D3PD4WKXQWUDNPASY6P7HBSFP34RLU3O,gegossen (Material/Technik); Zinn (Material/Technik),"23,6 x 13,8 x 10,5 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
/669/item_E2L3GQD4TEVEFFPD2DWYWYRCWEMVZMP6,gegossen (Material/Technik); Zinn (Material/Technik),"21,2 x 15,9 x 10,1 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
/669/item_E3NSUPR2YZE3VZBB6H62TD2USPZGET4K,Böttgersteinzeug (Material/Technik),"H. ohne Deckel: 8,1 cm, B. 14,1 cm, T. 9,2 cm, D. Fuß: 5,9 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_E5ESV2JI3B5EEHYINANSH4M3VTYY6KCG,Böttgerporzellan (Material/Technik),"H. mit Deckel: 13,1 cm, H. ohne Deckel: 8,8 cm, B. 13,7 cm, T. 10,9 cm, D. Fuß: 6,2 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_EBLNCVHPJIYGLFYZ3MU7KO7CFXC5WRF3,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 9,5 cm, H. ohne Deckel: 8,1 cm, B. 14,1 cm, T. 9,2 cm, D. Fuß: 6,1 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_EHB3PEKLSGPASIBROC6BUVHDWVZ47NTE,Steinzeug (Material/Technik),"H. mit Deckel: 16,0 cm, H. ohne Deckel: 12,1 cm, B. 14,3 cm, T. 8,3 cm, B. Fuß: 5,8 cm, T. Fuß: 5,7 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_EHOPDFSRYHEOU6RLN5GFRIYBKTQO66CN,poliert (Material/Technik); Zinn (Material/Technik),"H. mit Deckel: 9,5 cm, H. ohne Deckel: 7,8 cm, B. 13,9 cm, T. 9,0 cm, D. Fuß: 6,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_EK7UJ435I3BM2S64AH5YM5533JZM3YBT,gegossen (Material/Technik); Zinn (Material/Technik),"23,2 x 18,8 x 11,5 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
/669/item_ELB4DO7VIBN4QSKX2KQRSPINX47VA3XA,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 9,9 cm, H. ohne Deckel: 8,5 cm, B. 14,4 cm, T. 8,6 cm, D. Fuß: 5,3 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_EQBA2DBUT4IZEHM6HZ4G4ULERV3TAFMN,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 9,7 cm, H. ohne Deckel: 8,8 cm, B. (Tülle beschlagen): 14,2 cm, T. 12,6 cm, D. Fuß: 6,2 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_EW2JFISFKCVEIIHHYTSZEYL6FXFBVVME,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 10,9 cm, H. ohne Deckel: 9,1 cm, B. 15,5 cm, T. 10,0 cm, D. Fuß: 5,5 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_EXRRQUWHPEZERFT2M3CYQTBC5ZIX6FHJ,Steinzeug (Material/Technik),"H. mit Deckel: 13,4 cm, H. ohne Deckel: 10,2 cm, L. 15,9 cm, B. 8,4 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_EZP3QNE5HCW5WYJWY2FSI2SVIYJI5JA3,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 11,3 cm, H. ohne Deckel: 9,6 cm, B. 15,1 cm, T. 9,7 cm, B. Fuß: 6,9 cm, T. Fuß: 6,9 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_F55J6TQJTHNPN5DONTSN7CVJUEPVNNQR,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 9,6 cm, H. ohne Deckel: 8,4 cm, B. 14,2 cm, T. 8,5 cm, D. Fuß: 5,4 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_FDYAXH44FXXI6PTYL3NSQUREYHELR4CC,Unterglasurfarbe (Material/Technik),"H. mit Deckel: 11,1 cm, H. ohne Deckel: 8,4 cm, L. 16,7 cm, D. 11,2 cm, D. Fuß: 7,2 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_FG7DND47SZJIABKDXGPO6Y2U2SJZHDTQ,Unterglasurfarbe (Material/Technik),"H. 1,6 cm, D. 5,4 cm, D. Fuß: 4,3 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_FI6Q3BEGXOB6BMXXDCLLPTYPEVHCVF4K,gegossen (Material/Technik); Zinn (Material/Technik),"19,5 x 13,2 x 8,85 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
/669/item_FRDNOYM4CXE6RZDJLCPIIZOPZT3WYYZL,Silber (Material/Technik); getrieben (Material/Technik),"22,2 x 19,5 x 10,5 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
/669/item_FRDYZTIX2DVMJNSGDSH6VAORUVG6VNHW,Porzellan (Material/Technik),"H. 10,8 cm, L. 19,3 cm, B. 11,6 cm, Fuß: L. 10,1 cm, B. 7,8 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_G3DNJ5GHV7CUU4DN64TCGVTLTY57ZI6C,Porzellan (Material/Technik),"H. mit Deckel: 8,0 cm, H. ohne Deckel: 6,8 cm, B. 12,9 cm, T. 7,6 cm, D. Fuß: 4,1 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_GOVYZNXUMF7WNJYPRY2TECYWUX3WGRAK,Porzellan (Material/Technik),"H. mit Deckel: 11,0 cm, H. ohne Deckel: 9,4 cm, B. 17,6 cm, T. 11,5 cm, B. Fuß: 7,8 cm, T. Fuß: 6,7 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_H2TKWZ6JR32LJQIVSEHFG2DL7ADBZV6G,Steinzeug (Material/Technik),"H. mit Deckel: 8,7 cm, H. ohne Deckel: 6,6 cm, B. 12,1 cm, T. 8,2 cm, D. Fuß: 4,4 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_HDFWMAJMKBCVVTSZSZHEJ2FOELHIYUT3,Unterglasurfarbe (Material/Technik),"H. 9,2 cm, B. 9,7 cm, L. 15,2 cm, D. Fuß: 5,9 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_HDOHN7FQ6YAMTGB653KXKCBSN7WWPL5D,Porzellan (Material/Technik),"H. mit Deckel: 8,1 cm, H. ohne Deckel: 7,6 cm, B. 19,2 cm, T. 7,9 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_HJ3IBWUUDZEQ4RUSEWOIRVB2PZGZLVXD,Porzellan (Material/Technik),"H. mit Deckel: 10,4 cm, H. ohne Deckel: 9,1 cm, B. 20,6 cm, T. 10,7 cm, D. Fuß: 6,5 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_HJOZVSLRENCCKH35F2J6MVMRBV57F632,Böttgerporzellan (Material/Technik),"H. mit Deckel: 19,5 cm, H. ohne Deckel: 16,0 cm, B. 16,4 cm, T. 11,3 cm, D. Fuß:  6,4 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_HPTTNCSKRJDX5TGMZUATHC6B666B7A7W,Böttgerporzellan (Material/Technik),"H. mit Deckel: 18,9 cm, H. ohne Deckel: 15,1 cm, B. 17,3 cm, T. 11,5 cm, D. Fuß: 6,2 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_HRJ4GAHD47OTHECL5N24FRWBTEQEJH2N,Böttgerporzellan (Material/Technik),"H. mit Deckel: 22,8 cm, H. ohne Deckel: 18,4 cm, B. 13,0 cm, T. 12,0 cm, D. Fuß: 8,3 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_HZHAHCIC4LJVU64B6HRL4SSBKR6YJ2TK,Porzellan (Material/Technik),"H. 13,5 cm, B. 13,1 cm, T. 6,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_I3C422N3V54QZ4W745F2OG44XJSQU4ZV,Steingut (Material/Technik); glasiert (Material/Technik),"H. mit Deckel 25,0 cm; H. ohne Deckel 23,0 cm: B. mit Henkel und Tülle 24,0 cm; T./Dm. max. 12,8 cm; Dm. Fuß 9,0 cm; Dm. Lippe 9,9 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
/669/item_I5HF4VA6X7SEMKLVSRKDGZGUAUUKRH2S,Steinzeug (Material/Technik),"H. mit Deckel: 11,5 cm, H. ohne Deckel: 8,7 cm, L. 18,2 cm, B. 8,7 cm, L. Fuß: 9,9 cm, B. Fuß: 8,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_IFWI52WKIPXD2AU75CGADC3W6O4KFMEY,Unterglasurfarbe (Material/Technik),"H. ohne Deckel 6,2 cm, B. 15,2 cm, T. 9,0 cm, D. Fuß: 5,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_ILKDQ2RU3X5VQ4PUUZYA2DMNHGMBDGQS,Böttgersteinzeug (Material/Technik); poliert (Material/Technik),"H. ohne Deckel: 9,0 cm, B. (Tülle bestoßen): 17,1 cm, T. 11,7 cm, D. Fuß: 6,3 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_IN7BULR5BZKYD22RGI4NJ567MZ4N72MZ,Unterglasurfarbe (Material/Technik),"H. mit Deckel: 16,6 cm, H. ohne Deckel: 13,0 cm, D. 10,1 cm, D. Fuß: 5,6 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_IXX7TNDCJ6JQC7PISTXG36KWVPAM4RUX,feuervergoldet (Material/Technik); Silber (Material/Technik),"H 10,2 cm, Dm 47,2 cm",,"Grünes Gewölbe, Staatliche Kunstsammlungen Dresden",
/669/item_J4E5PUBTH76D2EIX3G4K2Q3MJVX6UCGT,Unterglasurfarbe (Material/Technik); montiert (Material/Technik),"H. 36,0 cm, L. 32,4 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_J6MV2CUE2CUUHSUMLZAFZQWEJ4FS5N3T,Böttgersteinzeug (Material/Technik),"H. mit Deckel: 9,6 cm, H. ohne Deckel: 8,1 cm, B. 12,9 cm, T. 8,3 cm, B. Fuß: 6,0 cm, T. Fuß: 5,9 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_JBRA2FWF6273QILOBXE2RELEMY7NI5IA,Unterglasurfarbe (Material/Technik),"H. 16,2 cm, L. 15,5 cm, D. Fuß: 7,4 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_JD4PCKXFNS457BKJCSNQQILEZMD5U6RT,graviert (Material/Technik); Zinn (Material/Technik),"24,2 x 16,5 x 11,85 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
/669/item_JDL46HYJLVXGG3JSTVQU6LAKBF5MJNS4,Porzellan (Material/Technik),"H. ohne Deckel: 8,7 cm, L. 14,0 cm, D. 9,3 cm, D. Fuß: 4,5 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_JGBAQXU3SVFXT7HAQG6OWVT3W2FP6XLF,Porzellan (Material/Technik),"H. mit Decke:l 12,4 cm, H. ohne Deckel: 8,7 cm, L. 15,1 cm, D. 9,5 cm, D. Fuß 6,0 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_JGCIIKWUDU7AVHB4E33HWWWHVPRDNOGM,Unterglasurfarbe (Material/Technik),"H. mit Deckel: 10,2 cm, H. ohne Deckel: 7,4 cm, B. 14,1 cm, T. 9,6 cm, D. Fuß: 6,3 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_JR3IPIRPAJX4G6TXC27WLWR4KNCQ3YEX,Böttgerporzellan (Material/Technik),"H. 24,8 cm, B. 23,8 cm, T. 14,5 cm, D. Fuß: 9,1 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_JSNZESQ6KR3DYFWHGMXPDQ7YF2FO5LEE,Unterglasurfarbe (Material/Technik); montiert (Material/Technik),"H. ohne Deckel: 11,0 cm, L. 13,7 cm, D. 8,2 cm, D. Fuß: 5,5 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_JUFI2P56A7SDBRO5S76QU2SADG4IWDDS,Porzellan (Material/Technik),"H. mit Deckel: 10,8 cm, H. ohne Deckel: 8,3 cm, L. 15,3 cm, B. 8,3 cm, L. Fuß: 8,0 cm, B. Fuß: 6,4 cm",,"Porzellansammlung, Staatliche Kunstsammlungen Dresden",
/669/item_K7GT4JZXY26OZ46FA6BAYTKVXWTRXJJW,gegossen (Material/Technik); Zinn (Material/Technik),"20,3 x 13,5 x 10,05 cm",,"Kunstgewerbemuseum, Staatliche Kunstsammlungen Dresden",
